43	GCA_001622165.1.fna	GCA_002794105.1.fna	GCA_011054385.1.fna	GCA_011372505.1.fna	GCA_011372555.1.fna	GCA_013335335.1.fna	GCA_013335765.1.fna	GCA_014384625.1.fna	GCA_016776555.1.fna	GCA_019163155.1.fna	GCA_019163275.1.fna	GCF_000006985.1.fna	GCF_000012485.1.fna	GCF_000015125.1.fna	GCF_000020465.1.fna	GCF_000020505.1.fna	GCF_000020525.1.fna	GCF_000020625.1.fna	GCF_000020645.1.fna	GCF_000168715.1.fna	GCF_001509575.1.fna	GCF_001747405.1.fna	GCF_003182595.1.fna	GCF_003968655.1.fna	GCF_003970105.1.fna	GCF_006265165.1.fna	GCF_006265245.1.fna	GCF_008586845.1.fna	GCF_008634005.1.fna	GCF_009807145.1.fna	GCF_011601315.1.fna	GCF_013357945.1.fna	GCF_015233875.1.fna	GCF_015234275.1.fna	PLV001_002.fna	PES001_018.fna	GOY005_001.fna	GOY006_RA.fna	TAF017_RA.fna	PLV001_001.fna	RIG001_014.fna	EMN001_021.fna
GCA_019163275.1.fna	NA	NA	NA	NA	NA	NA	78.554802	NA	NA	77.933571	100	NA	NA	99.200508	79.427475	NA	NA	NA	78.494392	77.451729	79.640854	NA	NA	NA	NA	NA	NA	NA	NA	NA	77.693085	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_000006985.1.fna	77.817657	NA	NA	83.06076	80.974899	NA	NA	NA	NA	NA	NA	100	77.758682	NA	NA	84.163742	NA	NA	NA	NA	NA	85.956573	NA	NA	NA	86.040253	NA	NA	NA	NA	NA	NA	NA	NA	76.78331	NA	NA	NA	NA	NA	NA	NA
GCF_000012485.1.fna	92.756836	NA	NA	77.006897	NA	NA	NA	NA	NA	NA	NA	77.758682	100	NA	NA	78.074387	NA	NA	NA	NA	NA	77.817474	NA	81.388336	80.798691	77.967331	NA	82.263824	81.319931	80.649826	NA	NA	NA	NA	76.716705	NA	NA	NA	NA	NA	NA	NA
GCF_000015125.1.fna	NA	NA	NA	NA	NA	78.050613	78.879211	NA	NA	78.567406	99.200508	NA	NA	100	80.414062	NA	NA	NA	80.177734	77.539482	79.096268	NA	NA	NA	NA	NA	NA	NA	NA	NA	77.686195	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_000020465.1.fna	NA	NA	NA	NA	NA	98.740952	99.494255	NA	NA	NA	79.427475	NA	NA	80.414062	100	NA	NA	NA	NA	77.41021	92.945244	NA	NA	NA	76.752617	NA	NA	NA	NA	NA	77.554535	NA	NA	NA	77.364708	77.399048	77.085648	77.239944	77.411224	76.846878	77.43013	77.519638
GCF_000020505.1.fna	77.629616	NA	NA	88.985733	85.669006	NA	NA	NA	NA	NA	NA	84.163742	78.074387	NA	NA	100	NA	NA	NA	NA	NA	83.14016	NA	NA	NA	83.345673	NA	NA	NA	NA	NA	NA	NA	NA	76.625076	NA	NA	NA	NA	NA	NA	NA
GCF_000020525.1.fna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_000020625.1.fna	NA	NA	77.760803	NA	NA	NA	NA	78.872612	77.854843	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	79.493164	79.560089	79.41217	NA	NA	NA	NA	NA	NA	NA	NA
GCF_000020645.1.fna	NA	NA	NA	NA	NA	NA	77.342552	NA	NA	99.955132	78.494392	NA	NA	80.177734	NA	NA	NA	NA	100	78.707001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	79.076691	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_000168715.1.fna	NA	NA	NA	NA	NA	77.035316	76.993095	NA	NA	78.403351	77.451729	NA	NA	77.539482	77.41021	NA	NA	NA	78.707001	100	77.1689	NA	NA	NA	76.912781	NA	NA	NA	NA	76.836441	94.168571	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_001509575.1.fna	NA	NA	NA	NA	NA	92.545563	92.97654	NA	NA	NA	79.640854	NA	NA	79.096268	92.945244	NA	NA	NA	NA	77.1689	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	77.67218	NA	NA	NA	77.472717	77.346863	77.090256	77.204323	77.294464	76.497406	77.41568	77.484337
GCF_001747405.1.fna	77.978378	NA	NA	82.888062	81.486633	NA	NA	NA	NA	NA	NA	85.956573	77.817474	NA	NA	83.14016	NA	NA	NA	NA	NA	100	NA	NA	NA	89.671371	NA	NA	NA	NA	NA	NA	NA	NA	76.810768	76.362923	NA	NA	NA	NA	NA	NA
GCF_003182595.1.fna	NA	NA	NA	NA	NA	NA	NA	77.933792	78.03241	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_003968655.1.fna	80.019867	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	81.388336	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	99.144768	NA	NA	99.103905	98.904709	99.341492	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_003970105.1.fna	80.442108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	80.798691	NA	76.752617	NA	NA	NA	NA	76.912781	NA	NA	NA	99.144768	100	NA	NA	99.052094	98.980515	99.278076	77.410133	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_006265165.1.fna	77.912781	NA	NA	82.924706	81.289444	NA	NA	NA	NA	NA	NA	86.040253	77.967331	NA	NA	83.345673	NA	NA	NA	NA	NA	89.671371	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	76.772064	NA	NA	NA	NA	NA	NA	NA
GCF_006265245.1.fna	NA	NA	77.86499	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	79.615753	79.633118	79.713234	NA	NA	NA	NA	NA	NA	NA	NA
GCF_008586845.1.fna	80.743851	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	82.263824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	99.103905	99.052094	NA	NA	100	99.025635	99.307587	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_008634005.1.fna	80.375793	NA	NA	NA	77.510559	NA	NA	NA	NA	NA	NA	NA	81.319931	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.904709	98.980515	NA	NA	99.025635	100	99.200882	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_009807145.1.fna	79.978317	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	80.649826	NA	NA	NA	NA	NA	NA	76.836441	NA	NA	NA	99.341492	99.278076	NA	NA	99.307587	99.200882	100	77.054626	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_011601315.1.fna	NA	NA	NA	NA	NA	77.083115	77.320251	NA	NA	78.722092	77.693085	NA	NA	77.686195	77.554535	NA	NA	NA	79.076691	94.168571	77.67218	NA	NA	NA	77.410133	NA	NA	NA	NA	77.054626	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_013357945.1.fna	NA	NA	79.731445	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	79.493164	NA	NA	NA	NA	NA	NA	NA	NA	79.615753	NA	NA	NA	NA	100	99.986984	99.976044	NA	NA	NA	NA	NA	NA	NA	NA
GCF_015233875.1.fna	NA	NA	79.555618	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	79.560089	NA	NA	NA	NA	NA	NA	NA	NA	79.633118	NA	NA	NA	NA	99.986984	100	99.976654	NA	NA	NA	NA	NA	NA	NA	NA
GCF_015234275.1.fna	NA	NA	79.616463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	79.41217	NA	NA	NA	NA	NA	NA	NA	NA	79.713234	NA	NA	NA	NA	99.976044	99.976654	100	NA	NA	NA	NA	NA	NA	NA	NA
PLV001_002.fna	NA	NA	NA	NA	NA	77.202454	77.308968	NA	NA	NA	NA	76.78331	76.716705	NA	77.364708	76.625076	NA	NA	NA	NA	77.472717	76.810768	NA	NA	NA	76.772064	NA	NA	NA	NA	NA	NA	NA	NA	100	87.689705	87.305847	87.124634	87.41127	85.65329	87.95369	88.019737
PES001_018.fna	NA	NA	NA	NA	NA	77.087105	77.300842	NA	NA	NA	NA	NA	NA	NA	77.399048	NA	NA	NA	NA	NA	77.346863	76.362923	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	87.689705	100	99.41713	98.502533	98.519371	99.150566	99.077225	99.045624
GOY005_001.fna	NA	NA	NA	NA	NA	76.765152	77.015686	NA	NA	NA	NA	NA	NA	NA	77.085648	NA	NA	NA	NA	NA	77.090256	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	87.305847	99.41713	100	98.803291	98.408989	98.886032	99.02449	99.015884
GOY006_RA.fna	NA	NA	NA	NA	NA	76.834122	77.171951	NA	NA	NA	NA	NA	NA	NA	77.239944	NA	NA	NA	NA	NA	77.204323	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	87.124634	98.502533	98.803291	100	97.775345	98.357269	98.388504	98.392609
TAF017_RA.fna	NA	NA	NA	NA	NA	77.055351	77.387329	NA	NA	NA	NA	NA	NA	NA	77.411224	NA	NA	NA	NA	NA	77.294464	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	87.41127	98.519371	98.408989	97.775345	100	98.793427	98.715012	98.784996
PLV001_001.fna	NA	NA	NA	NA	NA	76.426788	76.795067	NA	NA	NA	NA	NA	NA	NA	76.846878	NA	NA	NA	NA	NA	76.497406	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	85.65329	99.150566	98.886032	98.357269	98.793427	100	99.555611	99.587494
RIG001_014.fna	NA	NA	NA	NA	NA	77.088379	77.418785	NA	NA	NA	NA	NA	NA	NA	77.43013	NA	NA	NA	NA	NA	77.41568	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	87.95369	99.077225	99.02449	98.388504	98.715012	99.555611	100	99.892609
EMN001_021.fna	NA	NA	NA	NA	NA	77.100998	77.559952	NA	NA	NA	NA	NA	NA	NA	77.519638	NA	NA	NA	NA	NA	77.484337	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	88.019737	99.045624	99.015884	98.392609	98.784996	99.587494	99.892609	100
