sample	assembler	binID	pass.MIMAG_high	pass.MIMAG_medium	pass.GUNC	GUNC.n_contigs	GUNC.n_genes_called	GUNC.n_genes_mapped	GUNC.divergence_level	GUNC.contamination_portion	GUNC.n_effective_surplus_clades	GUNC.BRS	GUNC.CSS	checkM.lineage	checkM.genome_size	checkM.GC	checkM.coding_density	checkM.N50	checkM.longest_contig	checkM.mean_contig_length	checkM.translation_table	checkM.completeness	checkM.contamination	checkM.strain_heterogeneity	BUSCO_generic.D	BUSCO_generic.S	BUSCO_generic.F	BUSCO_generic.M	BUSCO_generic.T	BUSCO_specific.lineage	BUSCO_specific.D	BUSCO_specific.S	BUSCO_specific.F	BUSCO_specific.M	BUSCO_specific.T
PLV001	megahit	bin.6	True	True	True	20	1896	1807	family	0.12	0.28	0.53	0.06	o__Actinomycetales (UID1530)	2071971	64.20	90.65	189156	344046	103598	11	96.91	0.00	0.00	0.00	116.00	5.00	3.00	124.00	propionibacteriales_odb10	1.00	602.00	3.00	43.00	649.00
PLV001	megahit	bin.7	True	True	True	210	1914	1734	family	0.61	2.80	0.47	0.11	o__Clostridiales (UID1120)	1840832	49.10	89.38	12460	45494	8765	11	94.56	0.80	66.67	0.00	116.00	5.00	3.00	124.00	clostridiales_odb10	0.00	245.00	6.00	13.00	264.00
PLV001	megahit	bin.8	False	True	True	68	724	648	phylum	0.24	0.68	0.38	0.04	k__Bacteria (UID1452)	776607	35.90	89.16	18823	37648	11255	11	68.98	0.00	0.00	0.00	82.00	10.00	32.00	124.00						
PLV001	megahit	bin.9	False	True	False	1107	2922	2688	order	0.05	0.10	0.84	0.96	o__Actinomycetales (UID1530)	2216357	59.90	90.39	2118	13224	1978	11	68.54	3.17	0.00	1.00	61.00	22.00	40.00	124.00	propionibacteriales_odb10	3.00	337.00	78.00	231.00	649.00
PYK005	megahit	bin.1	False	True	True	831	1673	1527	class	0.12	0.28	0.60	0.43	p__Actinobacteria (UID2112)	1318156	62.70	88.33	1567	5317	1571	11	52.08	1.61	0.00	1.00	34.00	20.00	69.00	124.00						
PYK005	megahit	bin.10	False	True	False	622	2182	2064	family	0.03	0.05	0.79	0.47	p__Actinobacteria (UID2112)	2001533	62.00	86.51	3447	11618	3217	11	82.15	2.68	44.44	1.00	84.00	17.00	22.00	124.00	coriobacteriales_odb10	0.00	376.00	53.00	119.00	548.00
PYK005	megahit	bin.2	True	True	True	324	2453	2343	family	0.02	0.05	0.67	0.26	f__Actinomycetaceae (UID1531)	2700286	68.90	88.37	12189	36540	8334	11	93.79	3.29	28.57	1.00	87.00	14.00	22.00	124.00	actinobacteria_class_odb10	0.00	295.00	24.00	37.00	356.00
PYK005	megahit	bin.3	False	True	True	317	1233	1174	family	0.34	1.15	0.58	0.31	o__Clostridiales (UID1120)	1226025	50.70	93.69	4408	13241	3867	11	78.47	2.13	33.33	1.00	86.00	14.00	23.00	124.00	clostridiales_odb10	0.00	182.00	27.00	55.00	264.00
PYK005	megahit	bin.4	False	True	False	250	1430	1343	kingdom	0.03	0.06	0.61	0.73	o__Clostridiales (UID1120)	1429765	43.10	88.31	8412	49204	5673	11	89.01	0.00	0.00	0.00	113.00	3.00	8.00	124.00	clostridiales_odb10	1.00	232.00	8.00	23.00	264.00
PYK005	megahit	bin.5	False	True	False	822	2140	1952	family	0.13	0.29	0.45	0.81	c__Deltaproteobacteria (UID3217)	1821149	62.20	90.63	2445	10067	2207	11	83.92	2.28	80.00	0.00	59.00	22.00	43.00	124.00						
PYK005	megahit	bin.6	False	True	True	363	1290	1215	genus	0.24	0.67	0.55	0.35	o__Clostridiales (UID1120)	1342450	47.20	90.64	4290	13581	3677	11	82.36	0.38	0.00	1.00	87.00	8.00	28.00	124.00	clostridiales_odb10	2.00	196.00	6.00	60.00	264.00
PYK005	megahit	bin.7	False	True	False	605	1989	1898	phylum	0.03	0.07	0.90	0.61	k__Bacteria (UID1452)	1783380	56.40	92.04	3102	21153	2947	11	59.89	1.06	50.00	0.00	67.00	17.00	40.00	124.00	chloroflexi_odb10	0.00	129.00	20.00	122.00	271.00
PYK005	megahit	bin.8	False	True	False	152	1001	864	family	0.12	0.27	0.47	0.88	k__Bacteria (UID1453)	944612	51.30	90.02	10220	36019	6094	11	63.82	1.28	0.00	1.00	80.00	11.00	32.00	124.00						
PYK005	megahit	bin.9	True	True	True	381	1872	1822	kingdom	0.00	0.00	0.92	0.00	o__Clostridiales (UID1120)	1887587	53.90	90.58	6572	20438	4954	11	93.05	1.06	100.00	1.00	109.00	1.00	13.00	124.00	clostridiales_odb10	0.00	233.00	7.00	24.00	264.00
VLC005	metaspades	bin.1	False	True	True	674	1690	1644	kingdom	0.00	0.00	0.92	0.00	p__Bacteroidetes (UID2605)	1619030	39.70	90.46	2349	10889	2216	11	54.93	1.22	80.00	2.00	50.00	19.00	53.00	124.00	flavobacteriales_odb10	4.00	336.00	66.00	327.00	733.00
VLC005	metaspades	bin.10	False	True	True	200	2258	2190	class	0.02	0.04	0.92	0.32	k__Bacteria (UID1452)	2457857	56.10	90.58	19448	89075	11318	11	79.90	1.82	50.00	1.00	95.00	9.00	19.00	124.00	chloroflexi_odb10	1.00	206.00	5.00	59.00	271.00
VLC005	metaspades	bin.12	False	True	True	113	2164	2117	kingdom	0.00	0.00	0.72	0.00	f__Actinomycetaceae (UID1531)	2476245	71.80	90.18	30885	153993	19034	11	89.67	2.05	40.00	1.00	95.00	9.00	19.00	124.00	actinobacteria_class_odb10	1.00	288.00	12.00	55.00	356.00
VLC005	metaspades	bin.13	True	True	False	344	1488	1431	phylum	0.02	0.04	0.91	1.00	o__Clostridiales (UID1120)	1525406	38.70	90.46	5762	28781	4369	11	92.91	0.77	33.33	0.00	115.00	4.00	5.00	124.00	clostridiales_odb10	0.00	233.00	9.00	22.00	264.00
VLC005	metaspades	bin.14	True	True	True	287	2141	2104	genus	0.02	0.05	0.88	0.22	f__Pasteurellaceae (UID4932)	2171653	42.80	89.53	14655	54420	7333	11	95.89	2.11	45.45	0.00	111.00	7.00	6.00	124.00	pasteurellales_odb10	1.00	1001.00	32.00	66.00	1100.00
VLC005	metaspades	bin.15	True	True	True	219	1317	1295	kingdom	0.00	0.00	0.96	0.00	o__Clostridiales (UID1120)	1442173	46.10	88.90	8471	31373	6321	11	97.16	0.35	100.00	0.00	113.00	3.00	8.00	124.00	clostridiales_odb10	0.00	245.00	3.00	16.00	264.00
VLC005	metaspades	bin.16	False	True	True	396	1346	1262	family	0.24	0.64	0.61	0.29	o__Clostridiales (UID1120)	1296683	46.90	90.31	3697	12102	3257	11	83.40	1.73	60.00	0.00	82.00	21.00	21.00	124.00	clostridiales_odb10	0.00	176.00	41.00	47.00	264.00
VLC005	metaspades	bin.17	True	True	True	174	1422	1333	family	0.64	2.73	0.50	0.09	o__Clostridiales (UID1120)	1456850	43.50	91.14	11918	39356	8324	11	94.44	1.06	50.00	1.00	111.00	3.00	9.00	124.00	clostridiales_odb10	2.00	240.00	4.00	18.00	264.00
VLC005	metaspades	bin.18	False	True	True	340	1076	1039	kingdom	0.00	0.00	0.91	0.00	k__Bacteria (UID203)	987260	52.00	84.26	3277	15507	2878	11	56.85	0.00	0.00	0.00	48.00	11.00	65.00	124.00	micrococcales_odb10	0.00	194.00	37.00	306.00	537.00
VLC005	metaspades	bin.19	False	True	True	279	2141	2103	kingdom	0.00	0.00	0.94	0.00	p__Proteobacteria (UID3887)	2374587	65.70	85.20	9280	43732	5000	11	79.39	0.00	0.00	0.00	107.00	7.00	10.00	124.00	burkholderiales_odb10	3.00	501.00	49.00	135.00	688.00
VLC005	metaspades	bin.2	False	True	True	420	1398	1366	kingdom	0.00	0.00	0.94	0.00	p__Bacteroidetes (UID2605)	1460670	41.90	91.60	3536	16232	3299	11	74.37	0.40	50.00	0.00	82.00	9.00	33.00	124.00	flavobacteriales_odb10	2.00	477.00	24.00	230.00	733.00
VLC005	metaspades	bin.20	False	True	True	968	2547	2318	kingdom	0.00	0.00	0.63	0.00	f__Actinomycetaceae (UID1531)	2344514	71.50	83.79	2639	12837	2364	11	67.55	1.58	20.00	0.00	46.00	23.00	55.00	124.00						
VLC005	metaspades	bin.21	False	True	True	622	1410	1382	kingdom	0.00	0.00	0.92	0.00	p__Bacteroidetes (UID2605)	1481063	41.90	94.00	2597	11770	2315	11	65.83	0.56	33.33	0.00	60.00	7.00	57.00	124.00	flavobacteriales_odb10	0.00	422.00	44.00	267.00	733.00
VLC005	metaspades	bin.22	False	True	True	367	1702	1662	kingdom	0.00	0.00	0.94	0.00	p__Actinobacteria (UID2112)	1647865	65.30	88.18	5453	27537	4452	11	81.84	3.78	33.33	1.00	77.00	20.00	26.00	124.00	coriobacteriales_odb10	9.00	385.00	52.00	102.00	548.00
VLC005	metaspades	bin.23	True	True	True	258	2238	2117	kingdom	0.00	0.00	0.87	0.00	o__Burkholderiales (UID4000)	2515001	64.60	83.81	18837	55239	8571	11	93.20	0.23	100.00	0.00	98.00	6.00	20.00	124.00	burkholderiales_odb10	2.00	592.00	8.00	86.00	688.00
VLC005	metaspades	bin.24	True	True	True	191	2029	1730	order	0.28	0.83	0.44	0.17	c__Gammaproteobacteria (UID4201)	2121978	62.60	83.66	15005	64306	10448	11	91.26	0.29	100.00	0.00	84.00	3.00	37.00	124.00						
VLC005	metaspades	bin.25	False	True	True	53	801	698	order	0.02	0.05	0.50	0.21	k__Bacteria (UID1452)	800212	48.00	91.65	26319	73822	14033	11	64.51	0.93	0.00	0.00	82.00	10.00	32.00	124.00						
VLC005	metaspades	bin.26	True	True	True	220	1936	1867	family	0.03	0.05	0.88	0.38	o__Lactobacillales (UID355)	1953006	46.90	89.83	12007	62896	8796	11	98.19	0.29	100.00	0.00	116.00	4.00	4.00	124.00	lactobacillales_odb10	1.00	376.00	9.00	16.00	402.00
VLC005	metaspades	bin.27	False	True	False	535	1809	1627	order	0.20	0.48	0.42	0.49	k__Bacteria (UID209)	1592127	64.60	89.60	3143	10854	2919	11	85.29	1.00	100.00	0.00	80.00	16.00	28.00	124.00	synergistetes_odb10	1.00	368.00	25.00	261.00	655.00
VLC005	metaspades	bin.28	True	True	True	106	1533	1459	family	0.37	1.34	0.55	0.19	o__Clostridiales (UID1120)	1666909	49.90	91.66	29300	66479	15012	11	96.10	0.71	100.00	0.00	114.00	3.00	7.00	124.00	clostridiales_odb10	1.00	250.00	5.00	8.00	264.00
VLC005	metaspades	bin.29	False	True	True	534	1888	1809	genus	0.02	0.05	0.87	0.40	f__Neisseriaceae (UID3890)	1526015	55.40	88.01	3574	12361	2852	11	80.05	2.11	46.15	0.00	70.00	15.00	39.00	124.00	neisseriales_odb10	0.00	530.00	73.00	201.00	804.00
VLC005	metaspades	bin.3	False	True	True	881	1707	1624	family	0.02	0.04	0.81	0.42	k__Bacteria (UID2569)	1667189	45.20	92.87	1944	9874	1887	11	78.06	8.42	26.09	7.00	69.00	16.00	32.00	124.00	bacteroidetes_odb10	12.00	240.00	38.00	112.00	402.00
VLC005	metaspades	bin.31	False	True	True	707	2042	1924	genus	0.02	0.05	0.82	0.35	k__Bacteria (UID203)	1538368	59.30	88.88	2445	11151	2144	11	51.33	7.76	60.00	3.00	42.00	14.00	65.00	124.00						
VLC005	metaspades	bin.32	False	True	True	161	2430	2336	kingdom	0.00	0.00	0.84	0.00	f__Actinomycetaceae (UID1531)	2723509	68.80	87.59	32957	101437	16403	11	84.68	3.35	15.79	2.00	85.00	9.00	28.00	124.00	actinobacteria_class_odb10	9.00	260.00	13.00	74.00	356.00
VLC005	metaspades	bin.33	False	True	True	567	1190	1161	kingdom	0.00	0.00	0.77	0.00	p__Bacteroidetes (UID2605)	1353285	39.10	95.01	2682	15828	2382	11	67.74	0.63	0.00	0.00	68.00	9.00	47.00	124.00	flavobacteriales_odb10	2.00	412.00	30.00	289.00	733.00
VLC005	metaspades	bin.34	True	True	True	398	2629	2539	kingdom	0.00	0.00	0.92	0.00	o__Actinomycetales (UID1809)	2571706	57.50	90.64	8176	51417	6192	11	91.81	1.25	80.00	0.00	111.00	8.00	5.00	124.00	corynebacteriales_odb10	0.00	657.00	43.00	43.00	743.00
VLC005	metaspades	bin.35	True	True	True	154	1942	1863	class	0.03	0.07	0.69	0.06	f__Neisseriaceae (UID3890)	1955162	59.90	85.16	18312	79818	12531	11	92.06	0.45	50.00	0.00	85.00	6.00	33.00	124.00	neisseriales_odb10	0.00	692.00	8.00	104.00	804.00
VLC005	metaspades	bin.36	False	True	False	674	1559	1519	genus	0.02	0.04	0.92	0.76	f__Neisseriaceae (UID3890)	1368205	52.70	85.72	2024	22742	1962	11	56.34	0.59	66.67	0.00	45.00	11.00	68.00	124.00	neisseriales_odb10	2.00	364.00	52.00	386.00	804.00
VLC005	metaspades	bin.37	False	True	False	275	756	625	family	0.03	0.06	0.39	0.45	k__Bacteria (UID203)	654713	43.90	92.27	2589	9188	2304	11	69.48	4.48	0.00	5.00	52.00	19.00	48.00	124.00						
VLC005	metaspades	bin.38	False	True	True	495	904	858	genus	0.52	2.47	0.59	0.17	k__Bacteria (UID2565)	825470	38.10	95.29	1656	5930	1657	11	59.33	1.08	0.00	1.00	64.00	14.00	45.00	124.00	flavobacteriales_odb10	1.00	257.00	60.00	415.00	733.00
VLC005	metaspades	bin.4	False	True	False	641	1829	1804	phylum	0.03	0.06	0.93	0.94	o__Lactobacillales (UID544)	1497179	44.00	88.22	2278	13102	2156	11	56.55	1.82	58.33	0.00	35.00	25.00	64.00	124.00						
VLC005	metaspades	bin.5	False	True	True	326	1667	1618	kingdom	0.00	0.00	0.92	0.00	f__Neisseriaceae (UID3890)	1413046	55.50	85.30	5390	19941	4254	11	68.32	1.28	100.00	0.00	50.00	9.00	65.00	124.00	neisseriales_odb10	0.00	509.00	26.00	269.00	804.00
VLC005	metaspades	bin.6	False	True	True	60	831	697	phylum	0.10	0.22	0.51	0.18	k__Bacteria (UID1452)	802845	46.90	90.89	19189	42360	12538	11	62.19	2.08	0.00	0.00	81.00	6.00	37.00	124.00						
VLC005	metaspades	bin.7	False	True	True	626	2782	2689	kingdom	0.00	0.00	0.88	0.00	f__Actinomycetaceae (UID1531)	2966423	73.50	86.92	5235	55052	4245	11	77.72	2.29	50.00	0.00	77.00	19.00	28.00	124.00	actinobacteria_class_odb10	0.00	230.00	36.00	90.00	356.00
VLC005	metaspades	bin.8	True	True	True	99	2920	2834	genus	0.03	0.06	0.86	0.05	o__Actinomycetales (UID1697)	3196924	66.50	89.71	62281	776605	23307	11	97.29	1.79	20.00	0.00	123.00	1.00	0.00	124.00	propionibacteriales_odb10	1.00	619.00	5.00	24.00	649.00
VLC005	metaspades	bin.9	True	True	True	207	2179	2039	phylum	0.03	0.06	0.70	0.44	o__Actinomycetales (UID1530)	2424447	57.50	85.63	25720	72251	11169	11	95.98	0.55	100.00	4.00	108.00	8.00	4.00	124.00	micrococcales_odb10	4.00	461.00	19.00	53.00	537.00
JAE015	metaspades	bin.1	False	True	True	679	1478	1458	kingdom	0.00	0.00	0.95	0.00	f__Pasteurellaceae (UID4932)	1235418	43.80	92.97	1830	7800	1811	11	66.54	2.51	45.45	1.00	55.00	25.00	43.00	124.00	pasteurellales_odb10	0.00	545.00	95.00	460.00	1100.00
JAE015	metaspades	bin.11	False	True	True	490	1616	1556	kingdom	0.00	0.00	0.93	0.00	f__Porphyromonadaceae (UID2622)	1720978	49.80	89.44	4066	25039	3476	11	87.92	1.26	50.00	0.00	76.00	15.00	33.00	124.00	bacteroidales_odb10	0.00	414.00	33.00	94.00	541.00
