binID	sample	metaWRAP_binID	pass.MIMAG_medium	pass.MIMAG_high	pass.GUNC	pass.Polyrate	GUNC.n_contigs	GUNC.divergence_level	GUNC.contamination_portion	GUNC.n_effective_surplus_clades	checkM.genome_size	checkM.GC	checkM.coding_density	checkM.N50_contigs	checkM.lineage	checkM.completeness	checkM.contamination	checkM.strain_heterogeneity	meanCov	breadth	polyrate
ECO002_012	ECO002	bin.12	True	False	True	True	355	phylum	0.03	0.07	745630	32.0	93.79	2366	o__Clostridiales (UID1125)	67.52	2.83	0.0	27.5164	0.999	0.0017
ECO002_013	ECO002	bin.13	True	False	True	True	722	genus	0.63	3.89	1257708	62.1	86.72	1760	p__Actinobacteria (UID2112)	50.01	1.16	66.67	24.6221	0.9985	0.002
ECO004_001	ECO004	bin.1	True	True	True	True	373	kingdom	0.0	0.0	1643775	31.6	89.46	5329	p__Euryarchaeota (UID3)	92.8	0.04	0.0	46.7937	0.9996	0.0003
ECO004_002	ECO004	bin.2	True	False	True	True	499	kingdom	0.0	0.0	903751	30.7	90.1	1873	c__Bacilli (UID285)	63.45	0.31	0.0	27.4046	0.999	0.0008
ECO004_003	ECO004	bin.3	True	False	True	True	1440	order	0.21	0.57	3407227	69.2	89.74	2614	o__Actinomycetales (UID2012)	61.55	2.01	33.33	10.6004	0.9987	0.0012
ECO004_004	ECO004	bin.4	True	False	True	True	185	class	0.03	0.06	523464	46.9	92.23	3338	k__Bacteria (UID203)	60.05	0.0	0.0	34.1352	0.9985	0.002
ECO004_005	ECO004	bin.5	True	False	True	True	1008	class	0.03	0.05	2537652	52.9	93.47	2847	c__Betaproteobacteria (UID3888)	82.17	1.47	33.33	8.3487	0.9992	0.0002
ECO004_006	ECO004	bin.6	True	True	True	True	64	family	0.61	2.63	1368264	42.7	87.65	52926	o__Clostridiales (UID1120)	94.33	0.0	0.0	95.5503	0.9996	0.0001
ECO004_007	ECO004	bin.7	True	False	True	True	479	genus	0.61	3.07	1556803	57.4	90.41	3926	o__Clostridiales (UID1120)	87.98	3.76	40.0	38.0544	0.9992	0.0029
ECO004_008	ECO004	bin.8	True	False	True	True	332	class	0.48	1.14	764911	32.1	93.72	2522	o__Clostridiales (UID1125)	68.91	2.0	33.33	34.61	0.9992	0.0037
ECO010_001	ECO010	bin.1	True	False	True	True	585	kingdom	0.0	0.0	1772036	31.7	90.0	3722	p__Euryarchaeota (UID3)	89.07	0.96	0.0	45.3584	0.9992	0.0017
ECO010_002	ECO010	bin.2	True	False	True	True	197	family	0.11	0.25	731916	45.2	88.79	4870	c__Clostridia (UID1085)	55.27	1.65	88.89	43.0869	0.9993	0.002
ECO010_003	ECO010	bin.3	True	False	True	True	799	genus	0.03	0.05	1880236	63.8	90.26	2673	f__Actinomycetaceae (UID1531)	78.71	3.0	33.33	30.7474	0.9986	0.0024
ECO010_004	ECO010	bin.4	True	True	True	True	451	genus	0.61	3.26	1660585	57.2	90.1	4705	o__Clostridiales (UID1120)	92.73	3.31	25.0	38.4943	0.9992	0.0022
ECO010_005	ECO010	bin.5	True	False	True	True	438	family	0.62	2.7	818444	43.7	88.77	1916	o__Clostridiales (UID1120)	64.38	3.22	14.29	26.4795	0.9986	0.0035
ECO010_006	ECO010	bin.6	True	False	True	True	440	order	0.08	0.18	841763	57.1	90.99	1985	k__Bacteria (UID209)	51.29	0.0	0.0	25.9479	0.9983	0.0039
ECO010_007	ECO010	bin.7	True	False	True	True	906	kingdom	0.0	0.0	1691734	56.2	91.28	1980	k__Bacteria (UID1452)	64.91	4.55	50.0	26.5074	0.9984	0.005
ECO010_008	ECO010	bin.8	True	False	True	True	192	order	0.15	0.36	450536	38.3	91.38	2618	k__Bacteria (UID2495)	59.15	1.33	0.0	27.6599	0.9989	0.003
EMN001_001	EMN001	bin.1	True	False	True	True	302	kingdom	0.0	0.0	1637027	56.8	91.82	5803	k__Bacteria (UID203)	51.36	0.0	0.0	11.8782	0.9992	0.0029
EMN001_002	EMN001	bin.2	True	False	True	False	352	kingdom	0.0	0.0	779238	27.7	93.29	2472	k__Bacteria (UID203)	63.24	1.72	0.0	17.9787	0.9987	0.0062
EMN001_003	EMN001	bin.3	True	False	True	True	300	class	0.47	1.2	755911	32.5	94.46	2854	o__Clostridiales (UID1125)	67.82	1.93	0.0	10.2462	0.999	0.0004
EMN001_004	EMN001	bin.4	True	False	True	True	392	family	0.24	0.69	1678785	69.0	92.98	4996	k__Bacteria (UID1453)	75.33	1.71	50.0	10.2168	0.9988	0.0004
EMN001_005	EMN001	bin.5	True	False	True	True	45	kingdom	0.0	0.0	771619	36.0	88.74	25224	k__Bacteria (UID1452)	68.06	0.0	0.0	45.9791	0.9997	0.0
EMN001_006	EMN001	bin.6	True	True	True	True	83	family	0.16	0.36	2327753	60.8	88.1	42401	c__Deltaproteobacteria (UID3217)	98.05	0.0	0.0	174.6642	1.0	0.0032
EMN001_007	EMN001	bin.7	True	True	True	True	57	family	0.21	0.56	1462528	47.9	86.33	37650	o__Clostridiales (UID1212)	93.12	0.0	0.0	33.5218	0.9998	0.0001
EMN001_008	EMN001	bin.8	True	False	True	False	529	kingdom	0.0	0.0	943390	46.9	89.88	1829	o__Lactobacillales (UID355)	65.12	1.77	71.43	15.5177	0.9984	0.0117
EMN001_009	EMN001	bin.9	True	False	True	True	680	genus	0.75	4.3	1361048	39.7	94.41	2122	o__Clostridiales (UID1226)	74.46	2.28	33.33	11.1914	0.999	0.0031
EMN001_010	EMN001	bin.10	True	True	True	True	116	genus	0.03	0.05	2679187	52.3	89.76	37659	k__Bacteria (UID1452)	90.96	2.88	0.0	59.4794	0.9999	0.0036
EMN001_011	EMN001	bin.11	True	False	True	False	1013	kingdom	0.0	0.0	1814727	61.8	90.17	1789	o__Actinomycetales (UID1530)	59.29	7.02	80.0	137.4843	0.9998	0.0134
EMN001_012	EMN001	bin.12	True	False	True	True	362	kingdom	0.0	0.0	1541152	32.0	90.33	5083	p__Euryarchaeota (UID3)	88.87	0.0	0.0	21.462	0.9996	0.0001
EMN001_013	EMN001	bin.13	True	False	True	False	389	genus	0.23	0.55	1561782	63.6	90.33	4542	k__Bacteria (UID203)	58.33	0.0	0.0	39.1044	0.9996	0.0052
EMN001_015	EMN001	bin.15	True	False	True	False	438	kingdom	0.0	0.0	745501	39.1	92.11	1705	o__Clostridiales (UID1120)	59.29	1.05	100.0	7.8932	0.999	0.0057
EMN001_016	EMN001	bin.16	True	False	True	False	120	order	0.05	0.11	625819	42.7	92.13	8469	k__Bacteria (UID1453)	57.45	3.62	30.0	44.8011	0.9992	0.0063
EMN001_017	EMN001	bin.17	True	False	True	False	316	class	0.06	0.13	1864860	51.8	91.68	7557	k__Bacteria (UID1452)	79.55	5.45	37.5	28.0602	0.9994	0.0092
EMN001_018	EMN001	bin.18	True	True	True	True	263	kingdom	0.0	0.0	2755620	71.2	85.44	14735	f__Actinomycetaceae (UID1531)	97.96	2.74	25.0	213.3178	0.9999	0.0034
EMN001_019	EMN001	bin.19	True	True	True	True	27	family	0.73	6.31	2093665	55.5	90.37	119575	k__Bacteria (UID1453)	99.91	0.85	0.0	140.0068	1.0	0.0014
EMN001_020	EMN001	bin.20	True	True	False	True	392	genus	0.03	0.06	2168753	35.9	88.17	8078	o__Clostridiales (UID1226)	94.16	1.17	66.67	33.0578	0.9995	0.0041
EMN001_021	EMN001	bin.21	True	True	True	True	21	class	0.04	0.08	1881244	54.0	88.96	115643	k__Bacteria (UID2570)	98.9	0.0	0.0	119.2275	1.0	0.0
EMN001_022	EMN001	bin.22	True	True	True	True	106	genus	0.22	0.58	1574979	46.5	88.86	20896	o__Clostridiales (UID1120)	95.74	0.35	0.0	40.5873	0.9997	0.0045
EMN001_023	EMN001	bin.23	True	False	True	False	714	order	0.07	0.16	1659227	55.5	85.44	2665	o__Burkholderiales (UID4000)	67.83	3.77	35.71	28.9848	0.9987	0.0124
EMN001_024	EMN001	bin.24	True	False	False	True	403	order	0.15	0.35	1040796	64.4	88.78	2700	k__Bacteria (UID209)	55.01	1.69	100.0	12.4897	0.9989	0.0048
EMN001_025	EMN001	bin.25	True	False	True	True	26	family	0.4	1.38	952741	49.1	92.35	55581	c__Clostridia (UID1118)	72.58	0.0	0.0	26.6992	1.0	0.0017
EMN001_026	EMN001	bin.26	True	False	True	True	388	family	0.6	2.64	1539900	49.3	90.53	4794	o__Clostridiales (UID1120)	84.82	0.14	100.0	9.7218	0.9994	0.0003
EMN001_027	EMN001	bin.27	True	False	True	True	209	family	0.09	0.2	1867036	64.3	90.88	12120	o__Actinomycetales (UID1530)	87.35	1.38	50.0	18.6721	0.9995	0.0006
EMN001_028	EMN001	bin.28	False	False	True	False	452	kingdom	0.0	0.0	819545	34.3	90.98	1872	o__Clostridiales (UID1120)	43.92	0.37	66.67	14.1161	0.9989	0.0078
EMN001_029	EMN001	bin.29	True	False	True	False	529	kingdom	0.0	0.0	1086183	39.4	91.68	2176	o__Clostridiales (UID1120)	57.54	2.0	60.0	9.3915	0.9987	0.0082
EMN001_030	EMN001	bin.30	True	False	True	False	513	kingdom	0.0	0.0	926609	40.1	91.39	1852	o__Selenomonadales (UID1024)	61.95	2.34	57.14	11.6745	0.9983	0.0119
ESA006_001	ESA006	bin.1	False	False	False	False	469	order	0.17	0.38	718246	64.4	89.59	1507	k__Bacteria (UID209)	39.62	0.0	0.0	18.492	0.9985	0.0109
ESA006_002	ESA006	bin.2	True	False	True	True	553	kingdom	0.0	0.0	1801620	57.0	91.36	3584	k__Bacteria (UID1452)	78.58	3.06	20.0	11.315	0.9992	0.0015
ESA006_003	ESA006	bin.3	True	False	True	False	265	phylum	0.08	0.17	624743	48.3	92.44	2581	k__Bacteria (UID1452)	51.49	2.78	66.67	15.9179	0.9984	0.0063
ESA006_004	ESA006	bin.4	True	False	True	True	378	genus	0.23	0.61	1131788	46.8	90.08	3173	o__Clostridiales (UID1120)	69.92	0.71	0.0	11.2632	0.9994	0.0023
ESA007_001	ESA007	bin.1	True	False	True	True	343	family	0.59	2.19	1131076	42.6	88.59	4243	o__Clostridiales (UID1120)	84.14	1.77	66.67	14.3025	0.9991	0.0008
ESA007_002	ESA007	bin.2	True	False	True	True	628	kingdom	0.0	0.0	1285873	29.5	93.98	2240	p__Euryarchaeota (UID3)	75.69	0.0	0.0	13.577	0.9992	0.0005
ESA008_001	ESA008	bin.1	False	False	True	False	300	order	0.03	0.06	541832	49.1	91.36	1797	k__Bacteria (UID2495)	48.41	0.56	0.0	11.6796	0.9982	0.0059
ESA008_002	ESA008	bin.2	True	False	True	True	267	family	0.59	2.4	995930	42.9	88.02	4199	o__Clostridiales (UID1120)	82.7	0.71	0.0	16.5714	0.9994	0.0007
FUM002_001	FUM002	bin.1	True	False	True	True	179	phylum	0.25	0.69	698517	35.9	89.24	4867	k__Bacteria (UID2495)	82.42	1.69	0.0	14.451	0.9995	0.0018
FUM002_002	FUM002	bin.2	True	False	True	True	87	order	0.02	0.05	1098624	50.0	91.33	21267	o__Clostridiales (UID1120)	69.07	1.05	100.0	44.2087	0.9999	0.0029
FUM002_003	FUM002	bin.3	True	True	True	True	108	family	0.19	0.48	1304944	48.1	87.02	19427	o__Clostridiales (UID1212)	95.97	0.0	0.0	35.2617	0.9999	0.0005
FUM002_004	FUM002	bin.4	True	False	True	True	142	family	0.74	7.32	1759835	55.5	90.8	18232	k__Bacteria (UID1453)	88.7	0.85	0.0	72.5729	0.9999	0.0024
FUM002_005	FUM002	bin.5	True	False	True	True	367	family	0.02	0.05	2531524	52.4	90.37	9675	k__Bacteria (UID1452)	84.21	2.73	0.0	32.7201	0.9997	0.0028
FUM002_006	FUM002	bin.6	True	False	False	False	696	family	0.15	0.35	1704493	62.2	90.55	2733	c__Deltaproteobacteria (UID3217)	83.85	4.0	53.85	30.8682	0.9994	0.0065
FUM002_007	FUM002	bin.7	True	False	True	False	895	kingdom	0.0	0.0	1800170	61.8	90.47	2121	o__Actinomycetales (UID1530)	64.33	1.11	25.0	19.3042	0.999	0.0063
FUM002_008	FUM002	bin.8	True	False	True	True	410	order	0.05	0.11	2040210	51.8	92.2	7074	k__Bacteria (UID1452)	83.13	3.9	16.67	24.6649	0.9995	0.0037
FUM003_001	FUM003	bin.1	True	True	True	True	117	genus	0.05	0.11	5774033	68.8	92.64	97141	o__Burkholderiales (UID4000)	96.65	1.17	0.0	51.2472	0.9999	0.0
FUM003_002	FUM003	bin.2	True	True	True	True	118	family	0.19	0.49	4517414	61.1	91.5	65406	c__Betaproteobacteria (UID3971)	99.05	0.02	0.0	65.1384	0.9999	0.0
GOY005_001	GOY005	bin.1	True	True	True	True	181	phylum	0.03	0.06	1653372	54.2	89.16	13089	k__Bacteria (UID2570)	95.94	1.84	50.0	22.7194	0.9999	0.0001
GOY005_002	GOY005	bin.2	True	False	True	False	848	kingdom	0.0	0.0	1537140	65.7	88.43	1900	p__Proteobacteria (UID3887)	57.01	2.22	50.0	77.0769	0.9999	0.0058
GOY005_003	GOY005	bin.3	True	False	True	True	215	family	0.39	1.32	1234185	50.5	91.46	8265	o__Clostridiales (UID1120)	80.13	1.4	100.0	47.8586	0.9999	0.004
GOY005_004	GOY005	bin.4	True	False	True	False	568	kingdom	0.0	0.0	1222793	46.9	91.01	2264	o__Lactobacillales (UID355)	73.49	1.94	50.0	43.1715	0.9997	0.0057
GOY005_005	GOY005	bin.5	True	False	True	True	1359	kingdom	0.0	0.0	3189899	38.9	87.48	2608	f__Moraxellaceae (UID4680)	82.58	3.82	35.0	8.6039	0.9989	0.0046
GOY005_006	GOY005	bin.6	True	False	True	True	217	class	0.2	0.51	620539	36.0	90.2	3489	k__Bacteria (UID2495)	72.59	2.25	0.0	13.2508	0.9992	0.0011
GOY005_007	GOY005	bin.7	True	False	True	False	409	kingdom	0.0	0.0	1814508	60.3	90.98	5610	o__Actinomycetales (UID1530)	74.74	3.62	66.67	29.3595	0.9997	0.0061
GOY005_008	GOY005	bin.8	True	False	True	True	400	family	0.18	0.46	877541	49.1	90.1	2404	o__Clostridiales (UID1212)	69.17	1.51	33.33	12.5593	0.9995	0.0003
GOY005_009	GOY005	bin.9	True	False	True	True	300	order	0.18	0.46	1811525	58.1	92.82	8427	o__Actinomycetales (UID1697)	83.51	1.34	75.0	28.2145	0.9998	0.0033
GOY005_010	GOY005	bin.10	True	False	False	False	634	family	0.12	0.28	1537782	62.7	90.9	2768	k__Bacteria (UID203)	67.54	0.0	0.0	34.1494	0.9997	0.0066
GOY005_011	GOY005	bin.11	True	False	True	True	517	kingdom	0.0	0.0	1402559	32.9	86.59	3211	o__Clostridiales (UID1120)	76.85	0.7	100.0	27.3536	0.9995	0.0046
GOY005_012	GOY005	bin.12	True	False	True	False	615	kingdom	0.0	0.0	1231025	32.4	91.48	2139	k__Bacteria (UID2329)	71.33	1.17	50.0	20.4441	0.9993	0.0051
GOY005_013	GOY005	bin.13	True	True	True	True	495	kingdom	0.0	0.0	2682559	44.0	83.78	7631	o__Pseudomonadales (UID4679)	93.09	1.93	50.0	11.5575	0.9993	0.0003
GOY005_014	GOY005	bin.14	True	False	True	True	445	genus	0.75	4.36	1406169	39.7	94.28	3479	o__Clostridiales (UID1226)	69.03	1.27	100.0	20.9106	0.9995	0.0029
GOY005_015	GOY005	bin.15	True	False	True	False	549	order	0.03	0.06	1268628	56.7	89.69	2521	c__Clostridia (UID1118)	67.48	0.03	100.0	25.1762	0.9993	0.0071
GOY005_016	GOY005	bin.16	True	False	True	True	481	phylum	0.07	0.16	2233244	52.8	90.7	5487	k__Bacteria (UID1452)	73.16	2.73	0.0	23.6779	0.9996	0.0038
GOY005_017	GOY005	bin.17	True	False	True	True	178	family	0.74	7.28	1751871	55.5	90.76	15482	k__Bacteria (UID1453)	88.98	1.03	100.0	103.6001	1.0	0.0023
GOY005_018	GOY005	bin.18	True	False	True	True	719	phylum	0.05	0.11	1749904	52.3	92.72	2827	k__Bacteria (UID1452)	72.9	5.0	33.33	15.9001	0.9993	0.0047
GOY006_001	GOY006	bin.1	True	False	True	False	505	kingdom	0.0	0.0	882570	30.2	88.58	1816	c__Bacilli (UID285)	62.09	0.44	0.0	13.3679	0.9991	0.0054
GOY006_002	GOY006	bin.2	True	False	True	True	194	family	0.38	1.3	1236728	50.8	91.72	9431	c__Clostridia (UID1118)	85.08	0.81	0.0	24.7218	0.9995	0.004
GOY006_003	GOY006	bin.3	True	False	True	True	151	class	0.02	0.05	593499	46.1	93.26	5073	k__Bacteria (UID1452)	52.67	3.81	60.0	20.2408	0.9995	0.0018
GOY006_004	GOY006	bin.4	True	True	True	True	164	family	0.73	6.96	1730712	55.5	90.56	16995	k__Bacteria (UID1453)	90.93	1.12	66.67	31.5683	0.9998	0.0021
JAE006_001	JAE006	bin.1	True	False	True	True	141	class	0.05	0.11	2320672	58.9	88.97	22664	k__Bacteria (UID203)	77.59	0.0	0.0	24.0954	0.9994	0.0016
JAE006_002	JAE006	bin.2	True	True	True	True	132	genus	0.04	0.08	2035223	56.3	83.79	25893	f__Neisseriaceae (UID3890)	91.36	0.0	0.0	92.4233	0.9998	0.0009
JAE006_003	JAE006	bin.3	True	True	True	True	177	order	0.04	0.09	2660632	71.6	90.17	20012	f__Actinomycetaceae (UID1531)	94.22	0.95	0.0	16.9938	0.9993	0.0005
JAE006_004	JAE006	bin.4	True	False	True	True	423	kingdom	0.0	0.0	1184232	40.5	95.85	2877	p__Bacteroidetes (UID2605)	54.14	2.62	0.0	10.2892	0.9991	0.0017
JAE006_005	JAE006	bin.5	True	True	True	True	143	order	0.02	0.04	3154837	71.8	84.76	33839	f__Actinomycetaceae (UID1531)	96.19	0.95	0.0	23.0724	0.9993	0.0003
JAE006_006	JAE006	bin.6	True	False	True	True	540	kingdom	0.0	0.0	1801007	53.6	85.64	4142	o__Actinomycetales (UID1530)	72.53	1.55	33.33	9.5226	0.9975	0.0018
JAE006_007	JAE006	bin.7	True	True	True	True	301	kingdom	0.0	0.0	2069186	40.7	92.31	8252	p__Bacteroidetes (UID2605)	93.16	1.14	50.0	83.499	0.9996	0.0006
JAE006_008	JAE006	bin.8	True	True	True	True	193	kingdom	0.0	0.0	2456098	43.1	89.4	21624	o__Lactobacillales (UID544)	95.69	1.65	88.89	300.8921	0.9996	0.0045
JAE006_009	JAE006	bin.9	True	False	True	True	316	kingdom	0.0	0.0	2299200	51.2	83.02	10526	f__Neisseriaceae (UID3890)	88.79	0.45	66.67	276.4214	0.9995	0.0017
JAE006_010	JAE006	bin.10	True	True	True	True	30	kingdom	0.0	0.0	2674901	64.0	83.01	116549	o__Burkholderiales (UID4000)	96.22	0.12	0.0	366.4942	0.9997	0.0002
JAE006_011	JAE006	bin.11	True	True	True	True	71	phylum	0.02	0.05	2539799	56.9	85.61	57421	o__Actinomycetales (UID1530)	98.79	0.0	0.0	104.374	0.9998	0.0004
JAE006_012	JAE006	bin.12	True	False	True	True	382	kingdom	0.0	0.0	1856375	41.7	91.58	5950	p__Bacteroidetes (UID2605)	83.86	2.14	57.14	61.4856	0.9995	0.0011
JAE006_013	JAE006	bin.13	True	False	True	True	512	kingdom	0.0	0.0	1917330	43.8	92.38	4793	p__Bacteroidetes (UID2605)	87.98	0.0	0.0	27.094	0.9992	0.0022
JAE006_014	JAE006	bin.14	True	True	True	True	16	kingdom	0.0	0.0	3087977	65.5	87.66	297253	p__Proteobacteria (UID3887)	98.05	0.0	0.0	127.5997	0.9999	0.0001
JAE006_015	JAE006	bin.15	True	True	True	True	63	genus	0.03	0.07	2278591	42.7	89.24	52157	f__Pasteurellaceae (UID4932)	99.2	0.7	50.0	310.1864	0.9998	0.0001
JAE006_016	JAE006	bin.16	True	False	True	True	976	genus	0.02	0.05	2406519	66.8	90.58	2810	o__Actinomycetales (UID1697)	73.02	0.87	33.33	6.5686	0.9968	0.0006
JAE006_017	JAE006	bin.17	True	False	True	False	250	genus	0.04	0.08	1790222	54.6	84.8	10310	f__Neisseriaceae (UID3890)	79.65	0.23	100.0	142.8039	0.9989	0.0104
JAE006_018	JAE006	bin.18	True	False	True	True	558	order	0.02	0.04	1316161	39.1	91.63	2573	o__Pseudomonadales (UID4679)	70.9	1.65	28.57	8.9271	0.9984	0.0002
JAE006_019	JAE006	bin.19	True	True	True	True	100	kingdom	0.0	0.0	2706963	57.3	87.14	49297	o__Actinomycetales (UID1812)	97.52	0.82	25.0	18.1667	0.9994	0.0005
JAE006_020	JAE006	bin.20	True	True	True	False	430	genus	0.16	0.37	2235005	65.6	89.66	7117	f__Actinomycetaceae (UID1531)	93.95	2.23	66.67	10.4597	0.998	0.0055
JAE006_021	JAE006	bin.21	True	False	True	True	481	class	0.05	0.1	1209174	45.4	92.24	2950	k__Bacteria (UID2569)	68.58	0.54	0.0	8.7751	0.9985	0.0005
JAE006_022	JAE006	bin.22	True	False	True	True	535	kingdom	0.0	0.0	1147132	44.8	94.83	2344	p__Bacteroidetes (UID2605)	54.78	0.05	100.0	9.5891	0.9981	0.0014
JAE006_023	JAE006	bin.23	True	True	True	True	31	kingdom	0.0	0.0	3082286	68.4	87.39	175764	f__Actinomycetaceae (UID1531)	99.68	1.42	0.0	78.5586	0.9997	0.0004
JAE006_024	JAE006	bin.24	True	True	True	True	125	kingdom	0.0	0.0	2580794	57.3	90.71	29840	o__Actinomycetales (UID1809)	98.2	1.05	75.0	29.2314	0.9999	0.0039
JAE006_025	JAE006	bin.25	False	False	True	False	776	kingdom	0.0	0.0	1457279	41.8	91.63	1928	k__Bacteria (UID203)	49.09	3.61	33.33	30.0541	0.9987	0.0174
JAE007_001	JAE007	bin.1	True	True	True	True	35	genus	0.15	0.35	2421709	65.4	89.02	108343	f__Actinomycetaceae (UID1531)	100.0	0.47	0.0	29.7076	0.9995	0.0001
JAE007_002	JAE007	bin.2	True	True	True	True	161	family	0.18	0.42	1611126	38.1	88.84	13688	o__Lactobacillales (UID355)	96.31	0.0	0.0	39.6726	0.9997	0.0003
JAE007_003	JAE007	bin.3	True	True	True	True	160	genus	0.03	0.06	1755425	54.9	87.02	17604	f__Neisseriaceae (UID3890)	91.88	0.11	0.0	24.9739	0.9996	0.0005
JAE007_004	JAE007	bin.4	True	False	True	False	551	kingdom	0.0	0.0	996440	33.3	94.87	1875	k__Bacteria (UID2329)	57.48	3.53	40.0	38.7668	0.9988	0.0092
JAE007_005	JAE007	bin.5	True	True	True	True	37	kingdom	0.0	0.0	2646119	64.1	83.01	101029	o__Burkholderiales (UID4000)	96.22	0.0	0.0	164.0216	0.9996	0.0002
JAE007_006	JAE007	bin.6	True	True	True	True	142	genus	0.03	0.07	2076772	56.2	83.74	23180	f__Neisseriaceae (UID3890)	91.5	0.3	80.0	78.9483	0.9999	0.0009
JAE007_007	JAE007	bin.7	True	True	True	True	233	kingdom	0.0	0.0	2285588	54.1	86.01	16904	o__Actinomycetales (UID1530)	93.72	0.22	0.0	23.4725	0.9995	0.0028
JAE007_008	JAE007	bin.8	True	False	True	True	524	class	0.06	0.13	1206326	45.4	92.46	2650	k__Bacteria (UID2569)	71.47	1.34	66.67	8.4358	0.9976	0.0013
JAE007_009	JAE007	bin.9	True	True	True	True	21	kingdom	0.0	0.0	3113378	65.5	87.75	212626	p__Proteobacteria (UID3887)	98.05	0.0	0.0	61.7074	0.9999	0.0001
JAE007_010	JAE007	bin.10	True	True	True	True	396	kingdom	0.0	0.0	1959037	40.8	92.92	6202	p__Bacteroidetes (UID2605)	90.38	0.48	100.0	35.5777	0.9995	0.0009
JAE007_011	JAE007	bin.11	True	False	True	True	222	family	0.19	0.51	736984	37.5	92.42	3695	k__Bacteria (UID203)	74.31	0.0	0.0	18.3123	0.9991	0.0
JAE007_012	JAE007	bin.12	True	False	True	True	198	kingdom	0.0	0.0	2079335	51.4	83.1	17027	f__Neisseriaceae (UID3890)	84.59	0.34	50.0	340.3026	0.9996	0.0014
JAE007_013	JAE007	bin.13	True	True	True	True	54	genus	0.03	0.07	2268731	42.7	89.18	54991	f__Pasteurellaceae (UID4932)	99.43	0.7	50.0	375.5331	0.9995	0.0001
JAE007_014	JAE007	bin.14	True	False	True	True	389	kingdom	0.0	0.0	1168746	38.6	94.55	3166	p__Bacteroidetes (UID2605)	62.13	0.61	66.67	16.7568	0.9994	0.0005
JAE007_015	JAE007	bin.15	True	True	True	True	367	kingdom	0.0	0.0	2198678	41.2	90.65	7314	p__Bacteroidetes (UID2605)	95.9	0.16	100.0	111.2044	0.9996	0.0007
JAE007_016	JAE007	bin.16	True	False	True	True	215	genus	0.05	0.1	1980149	54.3	84.46	14022	f__Neisseriaceae (UID3890)	83.09	0.12	80.0	115.6884	0.9999	0.0008
JAE007_017	JAE007	bin.17	True	False	True	True	604	kingdom	0.0	0.0	1271308	58.2	87.06	2213	o__Actinomycetales (UID1530)	51.3	1.32	0.0	6.4543	0.9963	0.0006
JAE007_018	JAE007	bin.18	True	False	True	True	635	kingdom	0.0	0.0	1163714	48.4	90.81	1921	f__Porphyromonadaceae (UID2622)	66.3	2.8	9.09	5.5751	0.9971	0.0002
JAE008_001	JAE008	bin.1	True	False	True	True	283	family	0.08	0.17	3388642	65.5	85.24	20607	p__Proteobacteria (UID3887)	88.7	0.62	100.0	14.878	0.9992	0.0006
